,car_model,car_brand,car_doors,car_year,car_odo,car_price
0,Carrera / 911,Porsche,2 door,2022,5000,599000
1,Urus,Lamborghini,4 door,2022,0,1320000
2,Golf R,Volkswagen,4 door,2019,101405,135000
3,GLS-Class,Mercedes-Benz,4 door,2022,0,1150000
4,Continental Flying Spur,Bentley,4 door,2021,2500,1100000
5,G-Class,Mercedes-Benz,4 door,2022,0,1000000
6,Range Rover,Land Rover,4 door,2022,0,1100000
7,Defender,Land Rover,4 door,2022,0,630000
8,G-Class,Mercedes-Benz,4 door,2016,48000,500000
9,G-Class,Mercedes-Benz,4 door,2022,0,1490000
10,765LT,McLaren,2 door,2022,0,2650000
11,Cullinan,Rolls Royce,4 door,2022,0,2390000
12,Huracan,Lamborghini,2 door,2022,0,1750000
13,SF90 Stradale,Ferrari,2 door,2021,0,2350000
14,GX-Series,Lexus,4 door,2010,190000,73000
15,QX70,Infiniti,4 door,2015,150000,58000
16,Prado,Toyota,4 door,2015,183000,102000
17,S-Class,Mercedes-Benz,4 door,2013,173000,60000
18,Patrol,Nissan,4 door,2015,160000,105000
19,Maxima,Nissan,4 door,2016,60000,50000
20,Pajero,Mitsubishi,5+ doors,2017,165000,56500
21,Cayman,Porsche,2 door,2014,181000,110000
22,F-Series Pickup,Ford,4 door,2013,148600,79000
23,G-Class,Mercedes-Benz,4 door,2019,139000,590000
24,Charger,Dodge,4 door,2014,100000,58000
25,Equinox,Chevrolet,4 door,2020,30700,72000
26,S-Class,Mercedes-Maybach,5+ doors,2022,22,1198000
27,G-Class,Mercedes-Benz,4 door,2022,0,1090000
28,CLS-Class,Mercedes-Benz,4 door,2019,65000,235000
29,S7/RS7,Audi,4 door,2015,112000,198000
30,Ghost,Rolls Royce,4 door,2016,59000,595000
31,Challenger,Dodge,2 door,2019,50000,355000
32,Cullinan,Rolls Royce,5+ doors,2021,888,2400000
33,SL-Class,Mercedes-Benz,2 door,2022,0,1069000
34,Cullinan,Rolls Royce,4 door,2022,7000,2699000
35,Wraith,Rolls Royce,2 door,2022,0,1999999
36,Grand Cherokee,Jeep,4 door,2021,17000,159500
37,Continental GT,Bentley,2 door,2022,3000,1599000
38,Roma,Ferrari,2 door,2022,0,1449000
39,Ghost,Rolls Royce,4 door,2022,0,1849000
40,Cayenne,Porsche,5+ doors,2016,36000,200000
41,Levante,Maserati,4 door,2020,14000,289000
42,Range Rover,Land Rover,5+ doors,2018,149000,278000
43,C-Class,Mercedes-Benz,4 door,2022,0,299000
44,CLA,Mercedes-Benz,4 door,2022,0,245000
45,Pajero,Mitsubishi,3 door,2011,93000,27500
46,Grand Cherokee,Jeep,5+ doors,2015,94200,94950
47,GLE Coupe,Mercedes-Benz,5+ doors,2019,22909,324000
48,GLE Coupe,Mercedes-Benz,4 door,2019,41059,305000
49,Golf R,Volkswagen,4 door,2018,143000,109000
50,Camry,Toyota,4 door,2021,50000,123000
51,ID.6,Volkswagen,5+ doors,2022,0,160000
52,Challenger,Dodge,2 door,2017,45000,75000
53,Camaro,Chevrolet,2 door,2019,41000,75000
54,Camaro,Chevrolet,2 door,2018,89000,125000
55,Expedition,Ford,5+ doors,2018,72000,135000
56,S3/RS3,Audi,4 door,2017,139000,98000
57,SLC,Mercedes-Benz,2 door,2018,71000,129000
58,G-Class,Mercedes-Benz,4 door,2022,36,1099000
59,Cullinan,Rolls Royce,4 door,2022,783,3000000
60,Tundra,Toyota,4 door,2022,0,355000
61,Super Duty,Ford,4 door,2020,73000,235000
62,Tundra,Toyota,4 door,2022,0,375000
63,Q7,Audi,5+ doors,2017,116578,119000
64,G-Class,Mercedes-Benz,4 door,2017,91,899000
65,Huracan,Lamborghini,2 door,2022,140,1550000
66,Q7,Audi,5+ doors,2016,100935,95000
67,Grand Cherokee,Jeep,5+ doors,2013,91843,45000
68,Corolla,Toyota,4 door,2020,13487,49000
69,Pajero,Mitsubishi,5+ doors,2016,93111,51000
70,LX600,Lexus,4 door,2022,0,689000
71,Range Rover,Land Rover,4 door,2016,108000,169000
72,ID.4,Volkswagen,4 door,2022,0,142000
73,Patrol,Nissan,4 door,2015,105250,108000
74,ID.6,Volkswagen,5+ doors,2021,0,138000
75,Patrol,Nissan,5+ doors,2014,185000,70000
76,Escalade,Cadillac,5+ doors,2021,2000,439000
77,Range Rover,Land Rover,4 door,2019,44000,349000
78,Boxster,Porsche,2 door,2022,2800,355000
79,Bentayga,Bentley,5+ doors,2019,13000,679000
80,Tucson,Hyundai,5+ doors,2022,0,105000
81,Yaris,Toyota,4 door,2018,109000,39500
82,Mulsanne,Bentley,4 door,2015,35801,459000
83,California T,Ferrari,2 door,2015,37106,465000
84,GLC,Mercedes-Benz,5+ doors,2019,57629,225000
85,X5,BMW,5+ doors,2021,14129,565000
86,Taycan,Porsche,4 door,2021,37300,480000
87,Golf R,Volkswagen,4 door,2019,64328,149000
88,R8,Audi,2 door,2015,67929,259000
89,Macan,Porsche,5+ doors,2015,81066,145000
90,G-Class,Mercedes-Benz,5+ doors,2021,20,1580000
91,G-Class,Mercedes-Benz,5+ doors,2023,75,1150000
92,G-Class,Mercedes-Benz,5+ doors,2022,20,1850000
93,G-Class,Mercedes-Benz,5+ doors,2022,20,1179999
94,Urus,Lamborghini,5+ doors,2021,20,1449999
95,Urus,Lamborghini,5+ doors,2021,20,1549999
96,Urus,Lamborghini,5+ doors,2021,20,1549999
97,Defender,Land Rover,5+ doors,2022,36,470000
98,Defender,Land Rover,5+ doors,2022,30,475000
99,Defender,Land Rover,5+ doors,2022,20,480000
100,Range Rover,Land Rover,5+ doors,2021,20,659999
101,X5,BMW,4 door,2011,162000,36000
102,C-Class,Mercedes-Benz,4 door,2009,248000,21000
103,X5,BMW,5+ doors,2019,75476,253000
104,Huracan,Lamborghini,2 door,2021,18122,915000
105,Land Cruiser,Toyota,4 door,2022,0,360000
106,GT-R,Nissan,2 door,2020,56560,469000
107,Wrangler,Jeep,3 door,2020,19000,169990
108,i8,BMW,2 door,2015,88389,265000
109,4-Series,BMW,2 door,2017,63125,155000
110,Continental GT,Bentley,2 door,2013,30830,233000
111,Model Y,Tesla,5+ doors,2022,0,310000
112,S5/RS5,Audi,4 door,2017,69948,155000
113,R8,Audi,2 door,2009,68056,140000
114,Model 3,Tesla,4 door,2020,76575,209000
115,Model S,Tesla,4 door,2017,68616,199000
116,540C,McLaren,2 door,2017,20522,459000
117,Wraith,Rolls Royce,2 door,2015,58865,679000
118,Cayenne,Porsche,5+ doors,2020,52307,525000
119,Continental GT,Bentley,2 door,2013,89454,210000
120,Grand Cherokee,Jeep,5+ doors,2020,19514,165000
121,Expedition,Ford,4 door,2018,167333,99500
122,Tahoe,Chevrolet,4 door,2017,172943,96500
123,Explorer,Ford,4 door,2017,101715,92500
124,Explorer,Ford,4 door,2016,83101,83800
125,Explorer,Ford,4 door,2017,107673,99500
126,Edge,Ford,4 door,2016,200287,68800
127,Edge,Ford,4 door,2018,46947,84900
128,Edge,Ford,4 door,2016,142890,73500
129,Edge,Ford,4 door,2013,86791,42500
130,Ecosport,Ford,4 door,2014,177729,33900
131,Maxima,Nissan,4 door,2018,105853,77600
132,Focus,Ford,4 door,2018,92481,44900
133,Figo,Ford,4 door,2020,89993,35900
134,Sunny,Nissan,4 door,2019,157075,29900
135,Transit,Ford,3 door,2019,10285,69900
136,Other,Isuzu,2 door,2017,102813,74900
137,Escalade,Cadillac,5+ doors,2021,50839,435000
138,GLS-Class,Mercedes-Benz,4 door,2022,66,1199000
139,Koleos,Renault,5+ doors,2019,25000,79990
140,Forester,Subaru,5+ doors,2016,97858,44000
141,Urvan,Nissan,4 door,2021,4102,75000
142,M4,BMW,2 door,2022,4748,504000
143,7-Series,BMW,4 door,2022,18393,456000
144,4-Series,BMW,4 door,2019,41564,170000
145,Countryman,MINI,5+ doors,2021,8088,170000
146,3-Series,BMW,4 door,2021,14946,215000
147,7-Series,BMW,4 door,2022,3172,384000
148,X5,BMW,5+ doors,2022,21193,450000
149,Mustang,Ford,2 door,2021,3000,115000
150,Land Cruiser,Toyota,4 door,2012,395000,79000
151,7-Series,BMW,4 door,2020,54864,249000
152,Patrol,Nissan,5+ doors,2020,54151,262000
153,Patrol,Nissan,5+ doors,2020,37180,266000
154,Patrol,Nissan,5+ doors,2022,300,295000
155,LX-Series,Lexus,5+ doors,2018,88690,319000
156,GLC 63,Mercedes-Benz,5+ doors,2021,23874,385000
157,Cullinan,Rolls Royce,5+ doors,2022,600,2690000
158,Cullinan,Rolls Royce,2 door,2022,600,2450000
